iter	Logloss
0	0.6750729129
1	0.6584279947
2	0.6427809811
3	0.6288145186
4	0.6163583447
5	0.6038030454
6	0.591570212
7	0.5807718377
8	0.5701718897
9	0.5607685132
10	0.5524059534
11	0.5440054186
12	0.5365740407
13	0.5295868615
14	0.5231476472
15	0.5170281765
16	0.5110146043
17	0.5056806706
18	0.5006345946
19	0.4959373673
20	0.4917683124
21	0.4879875615
22	0.4841451384
23	0.4807191681
24	0.4775593062
25	0.4743198157
26	0.4711726104
27	0.4686109013
28	0.4658968322
29	0.4635391619
30	0.4611318725
31	0.4590401094
32	0.4570760142
33	0.4550821248
34	0.4532035036
35	0.4514671878
36	0.4499640867
37	0.4485104393
38	0.4470804306
39	0.445559131
40	0.44424184
41	0.4431221822
42	0.441870462
43	0.4408628
44	0.4400796422
45	0.4390920202
46	0.4381887022
47	0.4375464924
48	0.4365914189
49	0.4358993654
50	0.4351097543
51	0.4345041979
52	0.4337929899
53	0.4331525999
54	0.4327365841
55	0.432192804
56	0.4316377088
57	0.431012798
58	0.4305441066
59	0.4300253785
60	0.4293740187
61	0.4288126133
62	0.428363892
63	0.427831894
64	0.4273545473
65	0.4269921813
66	0.4265819701
67	0.4261343363
68	0.4257782669
69	0.4253910433
70	0.4250402223
71	0.424729074
72	0.4244789611
73	0.4241333363
74	0.423925146
75	0.4236229549
76	0.423262277
77	0.4230226338
78	0.4227881756
79	0.4225528109
80	0.422230726
81	0.4220739269
82	0.4218219742
83	0.4215512384
84	0.4211164163
85	0.4208734017
86	0.4206135994
87	0.4204681606
88	0.4202720447
89	0.4200510432
90	0.4199054994
91	0.4196676648
92	0.4194598478
93	0.4191325312
94	0.418965534
95	0.4187231762
96	0.4185639442
97	0.4183417891
98	0.418074475
99	0.4179331781
100	0.4177683241
101	0.4176589351
102	0.4175309326
103	0.4173729943
104	0.4172362607
105	0.4171217822
106	0.417018799
107	0.4168215905
108	0.4166051851
109	0.4165067283
110	0.4162513119
111	0.4160591465
112	0.4159201484
113	0.4157490593
114	0.4156025819
115	0.4153908545
116	0.4152749987
117	0.4151480541
118	0.4150023389
119	0.4148554845
120	0.4147388866
121	0.4146017877
122	0.4144586823
123	0.4142689242
124	0.414030548
125	0.4139096794
126	0.4138206045
127	0.413656741
128	0.4135215606
129	0.4133704767
130	0.4131255502
131	0.4130023154
132	0.4127817569
133	0.4126699079
134	0.4125225092
135	0.412302852
136	0.4121192453
137	0.412014999
138	0.4118876559
139	0.4117402209
140	0.4115756615
141	0.4114780814
142	0.4113836746
143	0.4112305846
144	0.4111412084
145	0.4111050003
146	0.4109528268
147	0.4108057117
148	0.410578482
149	0.4105227665
150	0.4103965991
151	0.4103024919
152	0.4101936858
153	0.4100302656
154	0.4099180438
155	0.4097929501
156	0.4097217228
157	0.4095993639
158	0.4094626675
159	0.4093940684
160	0.4092791364
161	0.4091863171
162	0.4090531058
163	0.4089103616
164	0.4087794312
165	0.4087186543
166	0.4085942341
167	0.4084195148
168	0.408190942
169	0.408045557
170	0.4078591836
171	0.4077476123
172	0.4076663588
173	0.4075725699
174	0.4074738441
175	0.4073873292
176	0.4073099626
177	0.4072545027
178	0.4071406242
179	0.407031047
180	0.4069310688
181	0.4067557282
182	0.4066527158
183	0.40658646
184	0.4064355726
185	0.4062701039
186	0.4062151079
187	0.4061225786
188	0.4060532939
189	0.4059753134
190	0.4058496508
191	0.4057129165
192	0.4056017671
193	0.405439618
194	0.4052662129
195	0.4051653337
196	0.4051038725
197	0.4050425404
198	0.4049119411
199	0.4047948086
200	0.4046859366
201	0.4045337188
202	0.4044137223
203	0.4042405967
204	0.4041158583
205	0.4040832562
206	0.4040132749
207	0.4039515451
208	0.4038770296
209	0.4038057899
210	0.4036678743
211	0.4035940455
212	0.4035045929
